&;e t
/;s n e:1 d s t r e2 kk
@;s n a:1 b e l a:2
´;g r a:1 v a k s e1 n t
=;l i:1 k h e: t s t e2 kk e n
â;a:1 m e s i r k u m f l e1 k s
aa;a:1 ? a:2
ää;{:1
åååååååh;o:1
åååh;o:1
åab;o: a: b e:1
aachen;a:1 h e n
aadas;a:1 d a s
aadu;a:1 d u
aafedt;o:1 f e t
aagaard;o:1 g o:2 rd
ååh;o:1
aakkula;a:1 kk U l a
aalbecksalen;a:1 l b e kk s a:2 l e n
aallikko;a:1 ll i kk o
aaltokoski;a:1 l t o k o2 s k i
aaltolahti;a:1 l t o l a2 h t i
aaltomaa;a:1 l t o m a:2
aaltomodell;a:1 l t o m U d e2 ll
aaltoparken;a:1 l t o p a2 r k e n
aaltouniversitet;a:1 l t o u n i v { r s i t e:2 t
aaltovirta;a:1 l t o v i2 r t a
aamodt;o:1 m o t
aamuhartaus;a:1 m U h a2 r t au s
aamulehtis;a:1 m U l e2 h t i s
aamun;a:1 m U n
aamund;o:1 m u n
aamupala;a:1 m U p a2 l a
aamusoitto;a:1 m U s o2 j tt o
aamusydamella;a:1 m U s y2 d a m e ll a
aamutv;a:1 m U t e:2 v e:
aamuun;a:1 m U: n
aamuvuori;a:1 m U v U2 o r i
ääneen;{:1 n e: n
äänekhu;{:1 n e k h U2
ääneku;{:1 n e k U
aapola;a:1 p o l a
aardman;a:1 rd m a n
aari;a:1 r i
ääritalo;{:1 r i t a2 l o
ääritalos;{:1 r i t a2 l o s
aarle;a:1 r l e
aarnikko;a:1 r n i2 kk o
aarniohärvan;a:1 r n i o h {2 r v a n
aarnisalo;a:1 r n i s a2 l o
aars;a:1 r s
aartsen;a:1 r t s e n
aartti;a:1 r tt i
aas;a: ? a: ? e1 ss
åas;o:1 a s
aasbøs;o:1 s b &:2 s
aass;o1 ss
aattori;a:1 tt o r i
aava;a:1 v a
aavasu;a:1 v a s U
åbacken;o:1 b a2 kk e n
abadi;a b a:1 d i
abankwa;a b a1 N k U a
abankwas;a b a1 N k U a s
äbb;{1 bb
åbb;o1 bb
abbamusik;a1 bb a m u s i:2 k
abbarum;a1 bb a r u2 mm
abbasi;a b a:1 s i
abbathemuseum;a1 bb a D m u s e:2 u m
abbe;a1 bb e
abbes;a1 bb e s
abbey;{1 b y
abbor;a1 bb o r
abborfångsterna;a1 bb o r f o2 N s t { rn a
abborfilé;a1 bb o rr f i l e:2
abborfors;a1 bb U: f o2 r s
abborna;a1 bb o rn a
abbornas;a1 bb o rn a s
abborr;a1 bb o r
abborrar;a1 bb o r a r
abborrarna;a1 bb o r a rn a
abborrarnas;a1 bb o r a rn a s
abborrars;a1 bb o r a r s
abborre;a1 bb o r e
abborren;a1 bb o r e n
abborrens;a1 bb o r e n s
abborres;a1 bb o r e s
abborrfilé;a1 bb o r f i l e:2
abborrfiléer;a1 bb o rr f i l e:2 { r
